choque_pp,tea_%,vp,variacion_exacta_%,aprox_duracion_%,aprox_duracion_convexidad_%
-2,5.5955,343146.7365,16.1321,14.2839,15.9558
-1,6.5955,317880.0463,7.581,7.1419,7.5599
1,8.5955,275554.4098,-6.7434,-7.1419,-6.724
2,9.5955,257772.7862,-12.7613,-14.2839,-12.612
