variable,forma,estadistico_ADF,p_valor,conclusion
vp_credito,nivel,-2.1103,0.2404,no estacionaria (raíz unitaria)
vp_credito,cambio diario,-15.0848,0.0,estacionaria
tasa_referencia,nivel,-1.2658,0.6447,no estacionaria (raíz unitaria)
tasa_referencia,cambio diario,-4.6444,0.0001,estacionaria
rend_bono10_usa,nivel,-0.4963,0.8927,no estacionaria (raíz unitaria)
rend_bono10_usa,cambio diario,-35.4998,0.0,estacionaria
tipo_cambio,nivel,-1.8691,0.3467,no estacionaria (raíz unitaria)
tipo_cambio,cambio diario,-40.6234,0.0,estacionaria
